,question,date,views,upvotes,answer
18,What-is-the-difference-between-western-white-racism-and-Chinese-racism,2018-10-29 12:41:51,27136,999,"O…….k. As a an African-American who lived in China for 6 years, I think I am uniquely suited to answer this question. So, sit down and see yourself through the eyes of a real outsider. First, both have completely different origins and roots. In the Western world, what we define as racism was created by Northern European scholars in order to debase and dehumanize people who weren't white and weren’t Christian. It was a world view created to rationalize slavery and colonialism and help the participants to sleep at night, knowing that they were committing unspeakable atrocities. White racism is much more thought out, much more pervasive and is much older. White racism is “backed” by “sciences” like eugenics and evolution. It’s the belief that a people are inherently inferior because they aren’t white, Christian and “civilized.” Also, it’s based on inherent white-European supremacy and how they are supreme in every human way. It’s actually based on the linear progression of history from Barbarity to civilization and that Europeans are the height of human evolution. However, racism in the western world is seen as a historical atrocity and, it almost feels like, people nowadays are trying to work on it. Either, it feels to me, people are trying to eradicate it ( U.S) or are trying to convince themselves that they are so progressive and enlightened that they are beyond and above racism or the mention of race (Europe). In America, and this is important, racism is systemic, meaning that it has permeated policy, and has been ensconced in institutions that perpetuate the idea of black inferiority even though the members of the institution might not feel that way. Chinese racism isn’t even racism yet. It’s more like Xenophobia, mixed with Afrophobia, mixed with an inferiority complex that’s on top of a superiority complex. China clearly has a colorism issue and feels that because of its 5,000 years of civilization it should be “above” certain people and cultures. I once asked a Chinese coworker about this. She said “ we(Chinese) should be on top, we should be the leaders of the world.” She is one person, but what she says resonates with me, it resonates with what I hear from many Chinese people about how they feel about where China should be. I don’t know why, but there does seem to be a cultural supremacist tinge in Chinese culture. The average person, is like an American, they know very little about the outside world but make authoritative judgements based on scant information and poorly formed critical thinking skills. I don’t see it getting better, I see it only getting worse. During my 6 years in China, I saw a thriving African trade center get stripped down and the merchants moved out because of local worries about AIDS and disease. China test everyone who gets a visas to work there for AIDS/HIV but these locals were only concerned that in their minds “African” means “AIDS.” Chinese racism is in the nascent stage, it’s a disparate set of ingredients that are just now beginning to be mixed together in the proverbial soup. Compare Chinese attitudes about how the Uighurs in Xinjiang are all thieves or terrorists, how Africans are all lazy, and then compare that to what Europeans wrote about “savages” and “heathens” that they met in the Americas, then tell me what you think."
19,What-are-some-good-examples-of-racism-on-Quora,2018-07-31 16:08:00,17440,644,"I had no idea that racism was such a big problem in the Indian subcontinent before I joined Quora. I knew there was a lot of colourism  here. But racism? I thought it was just a problem of the West. On Quora, I came across  some  really racist Indians, Pakistanis, and in particular Kashmiris. I saw answers that try to prove that the whole human civilization originated in India. The answers of these sort end up justifying caste system and tell you that Brahmans are the  real Aryans  of the world. The purest race. I saw commenters who commented how all the Indians have filth in their DNA and are “filthy Aryans mixed with Dravidians.” A few self proclaimed  genealogy experts  proved Kashmiris are Europeans and all the others in the subcontinent are dirty mixed race. The level of racism some of the answers here contain is mind-numbing. I will give credit to the Quora moderation. They remove this venom from the Quora’s system as soon as possible. So I can’t show you all the wretched opinions I have come across. I don’t just have a good (bad?) example but the best (worst?) example of them all. Thanks to  . (Should I be thankful?) He found a racist troll who he talks about in his post, here.  See for yourself: Translation ahahaha Black daughter of a swine. [Source:  ] How can one paragraph contain so many misconceptions and racist speculations? [Source:  ] The Quora moderation acts quickly but it still needs to be faster than it is right now to tackle these toxic trolls. (  I hope it doesn't collapse my answer though. That would be quite ironic. )"
20,Does-your-family-know-that-you-write-on-Quora,2018-04-05 22:19:28,8297,701,"My little sister does. She’s been disappointed in some of my writings. I care about income inequality and systematic racism at every level of the criminal “justice” system. But I have a hard time getting very worked up about what I consider the cosmetics of racism. She’s more militantly Black than I will ever be. If   were describing her, he would say that she was more of a Marxist identitarian than I am. I just shrug."
21,Do-conservatives-Republicans-actually-believe-liberals-Democrats-are-more-racist-against-blacks-or-is-that-a-strategically-deployed-lie,2017-11-24 12:59:57,15722,943,"“Do conservatives/Republicans actually believe liberals/Democrats are more racist against blacks, or is that a strategically deployed lie?” Zarrella-Fact rates this claim… Half-True. If we’re talking specifically about racism  against blacks  rather than all forms of racism, then it is undeniable that the lion’s share of  overt  racists are Republican (or at least more likely to vote GOP, regardless of  official  party affiliation). That is, there aren’t many Democratic Klansmen or any of the other sorts who would overtly and consciously speak against “n*gg*rs” or talk about how blacks need to “learn their place” or whatever. However, there are two forms of racism that are  vastly  more prevalent among Democrats and/or other progressives: And yes, I would argue that the latter two forms of racism are  worse  than whatever overt racism or implicit bias infects conservatism—because the latter two are  insidious : they make many blacks  collaborators  in their own discrimination. I do want to make one more effort at clarity, however, because of the highly charged nature of the subject matter: When I say, “X form of racism is [most common in / exclusive to] progressivism,” I  do not mean  that all or most progressives are guilty of it. I mean only that all or most people who  are  guilty of it are progressives. Just as I said at the outset— most  conservatives are not overt racists, but  most  overt racists are conservatives (at least in terms of the colloquial political spectrum—whether they are “conservatives” in a proper political philosophy sense is a more complicated question)."
22,George-Zimmerman-and-Darren-Wilson-each-killed-a-person-in-self-defence-Zimmerman-was-tried-due-to-public-pressure-while-Wilson-got-off-despite-similar-pressure-Zimmerman-is-brown-Wilson-is-white-Is-this-actual,2020-01-01 17:23:36,1424,193,"The premise is false. Zimmerman was tried in accordance with law. Wilson was investigated by the Ferguson Police, the St. Louis Police (as an impartial investigation), and the Department of Justice. Both were found innocent of wrongdoing. Wilson actually went through more scrutiny, as he was a law enforcement officer. If this was evidence of systemic racism, then it would be racism against whites. Both men got their day in court, were found not guilty due to preponderance of the evidence, and exonerated. No racism here."
23,Is-this-true-racism-prejudice-power-or-can-members-of-minorities-be-racist,2020-03-10 16:46:48,16397,2120,"It’s true if you happen to be sitting in a sociology class where it's defined that way. Otherwise it’s nothing more than the imposition of academic jargon on the rest of the population. For the vast majority of people on the planet, racism is race-based discrimination or bigotry. That’s it. Power is completely irrelevant. Otherwise, imagine this: Let’s say you’re a proud racist. You’re a card-carrying member of the KKK. You support white supremacy unabashedly. You live in a country where you are a member of the dominant race. Now, you decide to go on a safari to Tanzania. Your plane lands and, all of a sudden, you are in a place where your in-group lacks the preponderance of power. Does it mean that you’re no longer racist? Does this mean that you can take a vacation from being a racist, then go back to your country and be racist again? Is this really how this works? What about this? Many people in the US tell me some version of “Black people can’t be racist.” Okay. Let’s say you’re white, and you travel to Nigeria. Can black people in Nigeria also not be racist? They have the most wealth and power. And there are people around who will mistreat you for nothing more than the color of your skin. And if you got into an altercation, the police and justice system would likely favor them. You, the white visitor, might even find that there was systemic bias against you. So, are there at least some black racists in Nigeria? Yes or No? If not, how can that be? And if yes, what happens to these black racists when they travel to Sweden? Are they all of a sudden not racist anymore? This is obviously absurd. What likely happened is that some academic a few decades ago, for reasons that made sense within the context of their academic discipline, decided that a specialized definition of  racism  was needed. Unfortunately, somewhere along the way, some people decided that the sociological jargon was the only valid meaning of the term. But it doesn’t actually make sense when you apply it to real-life situations."
24,Why-does-Ben-Shapiro-only-debate-college-students,2020-07-02 13:28:51,121212,4166,"Because Ben Shapiro’s brand is a contradiction. He presents himself as the intellectual conservative whose logic and reasoning is deftly wielded to own the Libs. The issue is that many, many of the things he says are either cherry-picked, misrepresented, fallacious, straight-up wrong, or some combination of these. For example, in this clip, the original version of which has 206,000 views on YouTube and many hundreds of thousands more in the various “Ben Shapiro destroys leftists” YouTube compilations it’s included in, Ben asks a student who confronts him about institutional racism to, “name an institution that is racist.” Ben Shapiro Takes on Institutional Racism and White Privilege   The college student taking part in a Q&A that he is ‘debating’ here appeared to be unprepared for this response and couldn’t give much of an answer. Which, is exactly why he only debates unprepared college students in his audience. Ben Shapiro is a professional orator, he does this everyday, all day, as opposed to his debate opponents who usually don’t do this at all. In that context, of course it will always look like he’s the winner. But if instead of being a college student, this had been an expert, they would’ve been able to tell Ben Shapiro about the bias inherent to policing, the criminal justice system, healthcare, education, or more. Or they would’ve have been able to tell him how the institution at question when people talk about institutional racism  is racism. He only debates college students because he lies all the time and relies on his opponent not being as prepared as he is. To hear more of my commentary follow me on  Twitter    and subscribe to my  YouTube    channel."
25,Do-you-believe-that-victimhood-is-truly-prevalent-in-modern-American-society,2020-06-27 09:05:12,14918,828,"As bad as the public school system has become in the past 30 years, it is now infected with a disgraceful program called the 1619 Project. White children are taught to be ashamed of their race and black children are taught they have been abused and neglected by systemic racism in the United States for more than 400 years. Those who cannot compete in society because of mental or physical defects are no longer encouraged to overcome their shortcomings. It is now fashionable to cop a plea of victimhood and to go join a gang like Antifa, BLM, or MS-13 and inflict your poisoned psyche on the world. Public Schools Are Teaching The 1619 Project ... - Reason.com   https:// Reason.com   /2020/01/28/ 1619 - project -new-york-times- public - schools"
26,Why-aren-t-most-people-trying-to-solve-the-root-of-systemic-racism-by-directly-conversing-with-racist-Americans-Why-has-the-approach-become-mostly-a-shouting-match-versus-a-humane-attempt-to-actually-change-people-s,2020-06-20 13:58:34,1140,102,"Systemic racism is entrenched power systems, policies, procedures and training that causes people of color to see fewer opportunities and find themselves at the pointy end of law enforcement more often. It’s covert racism. That’s not fixed by talking to overt racists. It’s fixed by taking the reins of power and forcing change to align with the long past recognition that people of color are equal."
27,Are-black-people-justified-to-hate-whites-due-to-slavery-and-continued-systemic-racism,2020-06-11 11:50:10,592,91,“..Are black people justified to hate whites due to slavery and continued systemic racism?” So you are asking if being racist is an appropriate response to racism. Where did you get the idea that racism could be solved by simply focusing harder on race?
28,Someone-said-it-isnt-systematic-racism-it-is-systemic-racism-What-is-the-difference-between-the-two,2020-06-12 23:20:08,2346,70,"If I do something systematically I do it methodically, in an organized, deliberate way. It’s precise and thorough. Systemic is entirely different - it means it is indivisible from the whole, ingrained, inseparable, intrinsic. Even when you are being systematic, you can’t fix racism if it’s systemic. Because systemic means it’s not that there is something wrong with the system. It means it is the system."
29,Is-the-Varna-system-वर्ण-व्यवस्था-right-in-your-opinion-eye,2020-07-25 13:32:04,8228,234,"According to my perspective, Yes, the Varna system is right. For beginners, Varna, a Sanskrit word with several meanings including type, order, colour, class or division of humans depending on the work they do, was used to refer to social classes. These and other Hindu texts classified the society in principle into four varnas: Now, I would ask you, why is there racism in our modern society? Why are White people considered superior to Black people by the society? Why can't we the society consider them equal? Yes, that is the problem here. In the Treta Yuga and Dwapar Yuga, there was no discrimination, no racism. Everyone was considered equal. The shudras though, we're considered inferior by some people and kings. Now, some people may tell that dividing people is not correct. But this type of division, i.e. the Varna system, is division based on work and what work should be carried out by whom. So, in the end, if discrimination and racism does not exist, then the Varna system is perfect and at the end of the day, All of us are humans. And also to know: “VARNA SYSTEM IS NOT CASTE SYSTEM”. Thank you for reading. Upvote if you like my answer. Also please follow. ~Akhilesh"
